player_name,ranking,date
Jean-Philippe Fleurian,57,1990-01-15
Todd Witsken,58,1990-01-15
Jim Pugh,59,1990-01-15
Martin Strelba,60,1990-01-15
Karel Novacek,61,1990-01-15
Tomas Carbonell,62,1990-01-15
Mikael Pernfors,63,1990-01-15
Mark Koevermans,64,1990-01-15
Alexander Volkov,65,1990-01-15
Niclas Kroon,66,1990-01-15
Michiel Schapers,67,1990-01-15
Marc Rosset,68,1990-01-15
Juan Aguilera,69,1990-01-15
Lawson Duncan,70,1990-01-15
Andrew Sznajder,71,1990-01-15
Jens Woehrmann,72,1990-01-15
Ramesh Krishnan,73,1990-01-15
Dan Goldie,74,1990-01-15
Glenn Layendecker,75,1990-01-15
Jerome Potier,76,1990-01-15
Paul Haarhuis,77,1990-01-15
Jeremy Bates,78,1990-01-15
Franco Davin,79,1990-01-15
Derrick Rostagno,80,1990-01-15
Petr Korda,81,1990-01-15
Johan Kriek,82,1990-01-15
Slobodan Zivojinovic,83,1990-01-15
Jimmy Brown,84,1990-01-15
Michael Stich,85,1990-01-15
Richard Matuszewski,86,1990-01-15
Milan Srejber,87,1990-01-15
Richard Fromberg,88,1990-01-15
Andrei Cherkasov,89,1990-01-15
Nicolas Pereira,90,1990-01-15
Leif Shiras,91,1990-01-15
Robert Seguso,92,1990-01-15
Tom Nijssen,93,1990-01-15
Alex Antonitsch,94,1990-01-15
Lars-Anders Wahlgren,95,1990-01-15
Gilad Bloom,96,1990-01-15
Peter Lundgren,97,1990-01-15
Mark Woodforde,98,1990-01-15
Pieter Aldrich,99,1990-01-15
Christian Bergstrom,100,1990-01-15
Johan Anderson,101,1990-01-15
Diego Perez,102,1990-01-15
John Fitzgerald,103,1990-01-15
Udo Riglewski,104,1990-01-15
Jason Stoltenberg,105,1990-01-15
Claudio Pistolesi,106,1990-01-15
Francesco Cancellotti,107,1990-01-15
Marian Vajda,108,1990-01-15
Cassio Motta,109,1990-01-15
Tim Wilkison,110,1990-01-15
Grant Connell,111,1990-01-15
Michael Tauson,112,1990-01-15
Mark Kratzmann,113,1990-01-15
Eduardo Bengoechea,114,1990-01-15
Andres Vysand,115,1990-01-15
Kelly Jones,116,1990-01-15
Patrik Kuhnen,117,1990-01-15
Thierry Tulasne,118,1990-01-15
Bruno Oresar,119,1990-01-15
Veli Paloheimo,120,1990-01-15
Martin Laurendeau,121,1990-01-15
Fernando Luna,122,1990-01-15
Horacio de la Pena,123,1990-01-15
Jose Francisco Altur,124,1990-01-15
Lars Jonsson,125,1990-01-15
Gary Muller,126,1990-01-15
Francisco Roig,127,1990-01-15
Roberto Azar,128,1990-01-15
Olivier Delaitre,129,1990-01-15
Diego Nargiso,130,1990-01-15
Markus Zoecke,131,1990-01-15
Thomas Hogstedt,132,1990-01-15
David Pate,133,1990-01-15
Broderick Dyke,134,1990-01-15
Leonardo Lavalle,135,1990-01-15
Nicklas Kulti,136,1990-01-15
Christian Saceanu,137,1990-01-15
Martin Wostenholme,138,1990-01-15
Eric Winogradsky,139,1990-01-15
