Player Name,Turned Pro,Plays,height,weight (lbs),Birthdate
daniel-vacek,1990,"Right-Handed,UnknownBackhand",(191cm),179,(1971.04.01)
michael-sell,1995,"Right-Handed,UnknownBackhand",(180cm),170,(1972.08.23)
luis-horna,1998,"Right-Handed,One-HandedBackhand",(180cm),180,(1980.09.14)
karim-alami,1990,"Right-Handed,UnknownBackhand",(185cm),187,(1973.05.24)
sebastian-prieto,1996,"Right-Handed,UnknownBackhand",(180cm),165,(1975.05.19)
jeff-tarango,1989,"Left-Handed,UnknownBackhand",(180cm),160,(1968.11.20)
cyril-saulnier,1996,"Right-Handed,UnknownBackhand",(183cm),187,(1975.08.16)
hector-moretti,1991,"Right-Handed,UnknownBackhand",(170cm),147,(1973.01.27)
andreas-vinciguerra,1998,"Left-Handed,UnknownBackhand",(180cm),160,(1981.02.19)
albert-costa,1993,"Right-Handed,One-HandedBackhand",(180cm),172,(1975.06.25)
martin-rodriguez,1991,"Right-Handed,UnknownBackhand",(178cm),165,(1969.12.18)
dominik-hrbaty,1996,"Right-Handed,Two-HandedBackhand",(180cm),176,(1978.01.04)
andrea-gaudenzi,1990,"Right-Handed,UnknownBackhand",(183cm),187,(1973.07.30)
fredrik-jonsson,1996,"Right-Handed,UnknownBackhand",(193cm),180,(1977.03.28)
tim-henman,1993,"Right-Handed,One-HandedBackhand",(185cm),170,(1974.09.06)
andre-sa,1996,"Right-Handed,Two-HandedBackhand",(185cm),174,(1977.05.06)
noam-okun,1996,"Right-Handed,UnknownBackhand",(185cm),187,(1978.04.16)
lars-burgsmuller,1993,"Right-Handed,Two-HandedBackhand",(183cm),161,(1975.12.06)
jan-kroslak,1993,"Right-Handed,UnknownBackhand",(188cm),170,(1974.10.17)
jiri-novak,1993,"Right-Handed,Two-HandedBackhand",(191cm),190,(1975.03.22)
martin-damm,1990,"Right-Handed,UnknownBackhand",(188cm),195,(1972.08.01)
juan-balcells,1996,"Right-Handed,UnknownBackhand",(191cm),205,(1975.06.20)
justin-gimelstob,1996,"Right-Handed,One-HandedBackhand",(196cm),195,(1977.01.26)
david-sanchez,1997,"Right-Handed,UnknownBackhand",(183cm),168,(1978.04.20)
dejan-petrovic,"
","Right-Handed,Two-HandedBackhand",(0cm),198,(1978.04.03)
rodolphe-cadart,1997,"Left-Handed,UnknownBackhand",(183cm),167,(1978.08.08)
michael-llodra,1999,"Left-Handed,One-HandedBackhand",(191cm),176,(1980.05.18)
andy-fahlke,1996,"Right-Handed,UnknownBackhand",(185cm),181,(1979.05.30)
