url,tournament_name,tournament_date,number_players,indoor_outdoor,surface,prize_money,unique_tournament_id
/en/tournaments/manchester/7310/overview,Manchester,1991.06.17,32,Outdoor,Grass,"$250,000",manchester//1991.06.17
/en/tournaments/wimbledon/540/overview,London,1991.06.24,128,Outdoor,Grass,,london//1991.06.24
/en/tournaments/gstaad/314/overview,Gstaad,1991.07.08,32,Outdoor,Clay,"$305,000",gstaad//1991.07.08
/en/tournaments/bastad/316/overview,Bastad,1991.07.08,32,Outdoor,Clay,"$250,000",bastad//1991.07.08
/en/tournaments/newport/315/overview,Newport,1991.07.08,32,Outdoor,Grass,"$175,000",newport//1991.07.08
/en/tournaments/stuttgart/321/overview,Stuttgart,1991.07.15,48,Outdoor,Clay,"$1,000,000",stuttgart//1991.07.15
/en/tournaments/washington/418/overview,Washington,1991.07.15,56,Outdoor,Hard,"$550,000",washington//1991.07.15
/en/tournaments/hilversum/317/overview,Hilversum,1991.07.22,32,Outdoor,Clay,"$250,000",hilversum//1991.07.22
/en/tournaments/montreal/421/overview,Montreal,1991.07.22,56,Outdoor,Hard,"$1,200,000",montreal//1991.07.22
/en/tournaments/kitzbuhel/319/overview,Kitzbuhel,1991.07.29,48,Outdoor,Clay,"$375,000",kitzbuhel//1991.07.29
/en/tournaments/los-angeles/423/overview,Los Angeles,1991.07.29,32,Outdoor,Hard,"$250,000",los angeles//1991.07.29
/en/tournaments/san-marino/475/overview,San Marino,1991.07.29,32,Outdoor,Clay,"$225,000",san marino//1991.07.29
/en/tournaments/cincinnati/422/overview,Cincinnati,1991.08.05,56,Outdoor,Hard,"$1,300,000",cincinnati//1991.08.05
/en/tournaments/prague/379/overview,Prague,1991.08.05,32,Outdoor,Clay,"$350,000",prague//1991.08.05
/en/tournaments/indianapolis/419/overview,Indianapolis,1991.08.12,56,Outdoor,Hard,"$1,000,000",indianapless//1991.08.12
/en/tournaments/new-haven/420/overview,New Haven,1991.08.12,56,Outdoor,Hard,"$1,000,000",new haven//1991.08.12
/en/tournaments/long-island/441/overview,Long Island,1991.08.19,32,Outdoor,Hard,"$250,000",long island//1991.08.19
/en/tournaments/schenectady/224/overview,Schenectady,1991.08.19,32,Outdoor,Hard,"$150,000",schenectady//1991.08.19
/en/tournaments/us-open/560/overview,New York,1991.08.26,128,Outdoor,Hard,,new york//1991.08.26
/en/tournaments/bordeaux/323/overview,Bordeaux,1991.09.09,32,Outdoor,Hard,"$300,000",bordeaux//1991.09.09
/en/tournaments/brasilia/463/overview,Brasilia,1991.09.09,48,Outdoor,Carpet,"$250,000",brasilia//1991.09.09
/en/tournaments/geneva/322/overview,Geneva,1991.09.09,32,Outdoor,Clay,"$250,000",geneva//1991.09.09
/en/tournaments/palermo/325/overview,Palermo,1991.09.23,32,Outdoor,Clay,"$300,000",palermo//1991.09.23
/en/tournaments/brisbane/326/overview,Brisbane,1991.09.23,32,Outdoor,Hard,"$250,000",brisbane//1991.09.23
/en/tournaments/basel/328/overview,Basel,1991.09.23,32,Indoor,Hard,"$750,000",basel//1991.09.23
/en/tournaments/toulouse/327/overview,Toulouse,1991.09.30,32,Indoor,Hard,"$300,000",toulouse//1991.09.30
/en/tournaments/athens/367/overview,Athens,1991.09.30,32,Outdoor,Clay,"$150,000",athens//1991.09.30
/en/tournaments/sydney/427/overview,Sydney,1991.09.30,48,Indoor,Hard,"$1,000,000",sydney//1991.09.30
/en/tournaments/tel-aviv/330/overview,Tel Aviv,1991.10.07,32,Outdoor,Hard,"$150,000",tel aviv//1991.10.07
/en/tournaments/berlin/348/overview,Berlin,1991.10.07,32,Indoor,Carpet,"$300,000",berlin//1991.10.07
/en/tournaments/tokyo/428/overview,Tokyo,1991.10.07,48,Indoor,Carpet,"$1,000,000",tokyo//1991.10.07
/en/tournaments/lyon/7309/overview,Lyon,1991.10.14,32,Indoor,Carpet,"$500,000",lyon//1991.10.14
/en/tournaments/vienna/337/overview,Vienna,1991.10.14,32,Indoor,Carpet,"$250,000",vienna//1991.10.14
/en/tournaments/stockholm/429/overview,Stockholm,1991.10.21,48,Indoor,Carpet,"$1,100,000",stockholm//1991.10.21
/en/tournaments/guaruja/237/overview,Guaruja,1991.10.21,32,Outdoor,Hard,"$150,000",guaruja//1991.10.21
/en/tournaments/paris/352/overview,Paris,1991.10.28,48,Indoor,Carpet,"$2,000,000",paris//1991.10.28
/en/tournaments/buzios/215/overview,Buzios,1991.10.28,32,Outdoor,Hard,"$172,500",buzios//1991.10.28
/en/tournaments/sao-paulo/240/overview,Sao Paulo,1991.11.04,32,Outdoor,Hard,"$275,000",sao paulo//1991.11.04
/en/tournaments/moscow/438/overview,Moscow,1991.11.04,32,Indoor,Carpet,"$330,000",moscow//1991.11.04
/en/tournaments/birmingham/430/overview,Birmingham,1991.11.04,32,Indoor,Carpet,"$500,000",birmingham//1991.11.04
/en/tournaments/atp-tour-world-championship/605/overview,atp-tour-world-championship,1991.11.12,8,Indoor,Carpet,"$2,250,000",atp tour world championship//1991.11.12
/en/tournaments/munich/604/overview,"Munich, Germany",1991.12.10,16,Indoor,Carpet,"$6,000,000",munich//1991.12.10
/en/tournaments/adelaide/7308/overview,Adelaide,1991.12.30,32,Outdoor,Hard,"$182,500",adelaide//1991.12.30
/en/tournaments/wellington/354/overview,Wellington,1991.12.30,32,Outdoor,Hard,"$182,500",wellington//1991.12.30
/en/tournaments/sydney/338/overview,Sydney,1992.01.06,32,Outdoor,Hard,"$260,000",sydney//1992.01.06
/en/tournaments/auckland/301/overview,Auckland,1992.01.06,32,Outdoor,Hard,"$182,500",auckland//1992.01.06
/en/tournaments/australian-open/580/overview,Melbourne,1992.01.13,128,Outdoor,Hard,,melbourne//1992.01.13
/en/tournaments/maceio/201/overview,Maceio,1992.02.03,32,Outdoor,Clay,"$155,000",maceio//1992.02.03
/en/tournaments/milan/408/overview,Milan,1992.02.03,32,Indoor,Carpet,"$625,000",milan//1992.02.03
/en/tournaments/san-francisco/424/overview,San Francisco,1992.02.03,32,Indoor,Hard,"$260,000",san francisco//1992.02.03
/en/tournaments/brussels/406/overview,Brussels,1992.02.10,32,Indoor,Carpet,"$800,000",brussels//1992.02.10
/en/tournaments/memphis/402/overview,Memphis,1992.02.10,48,Indoor,Hard,"$780,000",memphis//1992.02.10
/en/tournaments/philadelphia/401/overview,Philadelphia,1992.02.17,48,Indoor,Carpet,"$1,040,000",philadelphia//1992.02.17
/en/tournaments/stuttgart/357/overview,Stuttgart,1992.02.17,32,Indoor,Carpet,"$1,040,000",stuttgart//1992.02.17
/en/tournaments/rotterdam/407/overview,Rotterdam,1992.02.24,32,Indoor,Carpet,"$525,000",rotterdam//1992.02.24
/en/tournaments/scottsdale/433/overview,Scottsdale,1992.02.24,32,Outdoor,Hard,"$260,000",scottsdale//1992.02.24
/en/tournaments/copenhagen/481/overview,Copenhagen,1992.03.02,32,Indoor,Carpet,"$155,000",copenhagen//1992.03.02
/en/tournaments/indian-wells/404/overview,Indian Wells,1992.03.02,56,Outdoor,Hard,"$1,075,000",indian wells//1992.03.02
/en/tournaments/miami/403/overview,Miami,1992.03.13,96,Outdoor,Hard,"$1,625,000",miami//1992.03.13
/en/tournaments/casablanca/360/overview,Casablanca,1992.03.16,32,Outdoor,Clay,"$155,000",casablanca//1992.03.16
/en/tournaments/estoril/468/overview,Estoril,1992.03.30,32,Outdoor,Clay,"$502,500",estoril//1992.03.30
/en/tournaments/johannesburg/6815/overview,Johannesburg,1992.03.30,32,Outdoor,Hard,"$300,000",johannesburg//1992.03.30
/en/tournaments/singapore/456/overview,Singapore,1992.03.30,32,Outdoor,Hard,"$265,000",singapore//1992.03.30
/en/tournaments/barcelona/425/overview,Barcelona,1992.04.06,56,Outdoor,Clay,"$800,000",barcelona//1992.04.06
/en/tournaments/tokyo/329/overview,Tokyo,1992.04.06,56,Outdoor,Hard,"$1,040,000",tokyo//1992.04.06
/en/tournaments/nice/6120/overview,Nice,1992.04.13,32,Outdoor,Clay,"$260,000",nice//1992.04.13
/en/tournaments/tampa/346/overview,Tampa,1992.04.13,32,Outdoor,Clay,"$260,000",tampa//1992.04.13
/en/tournaments/hong-kong/336/overview,Hong Kong,1992.04.13,32,Outdoor,Hard,"$300,000",hong kong//1992.04.13
/en/tournaments/monte-carlo/410/overview,Monte Carlo,1992.04.20,56,Outdoor,Clay,"$1,270,000",monte carlo//1992.04.20
/en/tournaments/seoul/434/overview,Seoul,1992.04.20,32,Outdoor,Hard,"$171,500",seoul//1992.04.20
/en/tournaments/madrid/309/overview,Madrid,1992.04.27,32,Outdoor,Clay,"$750,000",madrid//1992.04.27
/en/tournaments/munich/308/overview,Munich,1992.04.27,32,Outdoor,Clay,"$300,000",munich//1992.04.27
/en/tournaments/atlanta/409/overview,Atlanta,1992.04.27,32,Outdoor,Clay,"$260,000",atlanta//1992.04.27
/en/tournaments/hamburg/414/overview,Hamburg,1992.05.04,56,Outdoor,Clay,"$1,250,000",hamburg//1992.05.04
/en/tournaments/charlotte/717/overview,Charlotte,1992.05.04,32,Outdoor,Clay,"$260,000",charlotte//1992.05.04
/en/tournaments/rome/416/overview,Rome,1992.05.11,64,Outdoor,Clay,"$1,403,000",rome//1992.05.11
/en/tournaments/bologna/312/overview,Bologna,1992.05.18,32,Outdoor,Clay,"$265,000",bologna//1992.05.18
/en/tournaments/dusseldorf/615/overview,Dusseldorf,1992.05.18,32,Outdoor,Clay,"$1,377,500",dusseldorf//1992.05.18
/en/tournaments/roland-garros/520/overview,Paris,1992.05.25,128,Outdoor,Clay,,paris//1992.05.25
/en/tournaments/london/311/overview,London,1992.06.08,56,Outdoor,Grass,"$525,000",london//1992.06.08
