url,tournament_name,tournament_date,number_players,indoor_outdoor,surface,prize_money
/en/tournaments/munich/604/overview,"Munich, Germany",1991.12.10,16,Indoor,Carpet,"$6,000,000"
/en/tournaments/adelaide/7308/overview,Adelaide,1991.12.30,32,Outdoor,Hard,"$182,500"
/en/tournaments/wellington/354/overview,Wellington,1991.12.30,32,Outdoor,Hard,"$182,500"
/en/tournaments/sydney/338/overview,Sydney,1992.01.06,32,Outdoor,Hard,"$260,000"
/en/tournaments/auckland/301/overview,Auckland,1992.01.06,32,Outdoor,Hard,"$182,500"
/en/tournaments/australian-open/580/overview,Melbourne,1992.01.13,128,Outdoor,Hard,
/en/tournaments/milan/408/overview,Milan,1992.02.03,32,Indoor,Carpet,"$625,000"
/en/tournaments/san-francisco/424/overview,San Francisco,1992.02.03,32,Indoor,Hard,"$260,000"
/en/tournaments/maceio/201/overview,Maceio,1992.02.03,32,Outdoor,Clay,"$155,000"
/en/tournaments/brussels/406/overview,Brussels,1992.02.10,32,Indoor,Carpet,"$800,000"
/en/tournaments/memphis/402/overview,Memphis,1992.02.10,48,Indoor,Hard,"$780,000"
/en/tournaments/philadelphia/401/overview,Philadelphia,1992.02.17,48,Indoor,Carpet,"$1,040,000"
/en/tournaments/stuttgart/357/overview,Stuttgart,1992.02.17,32,Indoor,Carpet,"$1,040,000"
/en/tournaments/rotterdam/407/overview,Rotterdam,1992.02.24,32,Indoor,Carpet,"$525,000"
/en/tournaments/scottsdale/433/overview,Scottsdale,1992.02.24,32,Outdoor,Hard,"$260,000"
/en/tournaments/indian-wells/404/overview,Indian Wells,1992.03.02,56,Outdoor,Hard,"$1,075,000"
/en/tournaments/copenhagen/481/overview,Copenhagen,1992.03.02,32,Indoor,Carpet,"$155,000"
/en/tournaments/miami/403/overview,Miami,1992.03.13,96,Outdoor,Hard,"$1,625,000"
/en/tournaments/casablanca/360/overview,Casablanca,1992.03.16,32,Outdoor,Clay,"$155,000"
/en/tournaments/estoril/468/overview,Estoril,1992.03.30,32,Outdoor,Clay,"$502,500"
/en/tournaments/johannesburg/6815/overview,Johannesburg,1992.03.30,32,Outdoor,Hard,"$300,000"
/en/tournaments/singapore/456/overview,Singapore,1992.03.30,32,Outdoor,Hard,"$265,000"
/en/tournaments/tokyo/329/overview,Tokyo,1992.04.06,56,Outdoor,Hard,"$1,040,000"
/en/tournaments/barcelona/425/overview,Barcelona,1992.04.06,56,Outdoor,Clay,"$800,000"
/en/tournaments/hong-kong/336/overview,Hong Kong,1992.04.13,32,Outdoor,Hard,"$300,000"
/en/tournaments/nice/6120/overview,Nice,1992.04.13,32,Outdoor,Clay,"$260,000"
/en/tournaments/tampa/346/overview,Tampa,1992.04.13,32,Outdoor,Clay,"$260,000"
/en/tournaments/monte-carlo/410/overview,Monte Carlo,1992.04.20,56,Outdoor,Clay,"$1,270,000"
/en/tournaments/seoul/434/overview,Seoul,1992.04.20,32,Outdoor,Hard,"$171,500"
/en/tournaments/madrid/309/overview,Madrid,1992.04.27,32,Outdoor,Clay,"$750,000"
/en/tournaments/munich/308/overview,Munich,1992.04.27,32,Outdoor,Clay,"$300,000"
/en/tournaments/atlanta/409/overview,Atlanta,1992.04.27,32,Outdoor,Clay,"$260,000"
/en/tournaments/hamburg/414/overview,Hamburg,1992.05.04,56,Outdoor,Clay,"$1,250,000"
/en/tournaments/charlotte/717/overview,Charlotte,1992.05.04,32,Outdoor,Clay,"$260,000"
/en/tournaments/rome/416/overview,Rome,1992.05.11,64,Outdoor,Clay,"$1,403,000"
/en/tournaments/dusseldorf/615/overview,Dusseldorf,1992.05.18,32,Outdoor,Clay,"$1,377,500"
/en/tournaments/bologna/312/overview,Bologna,1992.05.18,32,Outdoor,Clay,"$265,000"
/en/tournaments/roland-garros/520/overview,Paris,1992.05.25,128,Outdoor,Clay,
/en/tournaments/london/311/overview,London,1992.06.08,56,Outdoor,Grass,"$525,000"
/en/tournaments/florence/310/overview,Florence,1992.06.08,32,Outdoor,Clay,"$260,000"
/en/tournaments/rosmalen/440/overview,Rosmalen,1992.06.08,32,Outdoor,Grass,"$260,000"
/en/tournaments/genoa/306/overview,Genoa,1992.06.15,32,Outdoor,Clay,"$260,000"
/en/tournaments/manchester/7310/overview,Manchester,1992.06.15,32,Outdoor,Grass,"$260,000"
/en/tournaments/wimbledon/540/overview,London,1992.06.22,128,Outdoor,Grass,
/en/tournaments/gstaad/314/overview,Gstaad,1992.07.06,32,Outdoor,Clay,"$330,500"
/en/tournaments/bastad/316/overview,Bastad,1992.07.06,32,Outdoor,Clay,"$260,000"
/en/tournaments/newport/315/overview,Newport,1992.07.06,32,Outdoor,Grass,"$200,000"
/en/tournaments/stuttgart/321/overview,Stuttgart,1992.07.13,48,Outdoor,Clay,"$1,040,000"
/en/tournaments/washington/418/overview,Washington,1992.07.13,56,Outdoor,Hard,"$625,000"
/en/tournaments/toronto/421/overview,Toronto,1992.07.20,56,Outdoor,Hard,"$1,295,000"
/en/tournaments/kitzbuhel/319/overview,Kitzbuhel,1992.07.20,48,Outdoor,Clay,"$392,500"
/en/tournaments/hilversum/317/overview,Hilversum,1992.07.20,32,Outdoor,Clay,"$260,000"
/en/tournaments/san-marino/475/overview,San Marino,1992.07.27,32,Outdoor,Clay,"$260,000"
/en/tournaments/barcelona/96/overview,Barcelona,1992.07.27,64,Outdoor,Clay,
/en/tournaments/los-angeles/423/overview,Los Angeles,1992.08.03,32,Outdoor,Hard,"$260,000"
/en/tournaments/cincinnati/422/overview,Cincinnati,1992.08.10,56,Outdoor,Hard,"$1,405,000"
/en/tournaments/prague/379/overview,Prague,1992.08.10,32,Outdoor,Clay,"$365,000"
/en/tournaments/indianapolis/419/overview,Indianapolis,1992.08.17,56,Outdoor,Hard,"$1,040,000"
/en/tournaments/new-haven/420/overview,New Haven,1992.08.17,56,Outdoor,Hard,"$1,040,000"
/en/tournaments/long-island/441/overview,Long Island,1992.08.24,32,Outdoor,Hard,"$260,000"
/en/tournaments/umag/439/overview,Umag,1992.08.24,32,Outdoor,Clay,"$260,000"
/en/tournaments/schenectady/224/overview,Schenectady,1992.08.24,32,Outdoor,Hard,"$155,000"
/en/tournaments/us-open/560/overview,New York,1992.08.31,128,Outdoor,Hard,
/en/tournaments/bordeaux/323/overview,Bordeaux,1992.09.14,32,Outdoor,Clay,"$330,000"
/en/tournaments/cologne/7300/overview,Cologne,1992.09.14,32,Outdoor,Clay,"$270,000"
/en/tournaments/basel/328/overview,Basel,1992.09.28,32,Indoor,Hard,"$775,000"
/en/tournaments/palermo/325/overview,Palermo,1992.09.28,32,Outdoor,Clay,"$315,000"
/en/tournaments/brisbane/326/overview,Brisbane,1992.09.28,32,Outdoor,Hard,"$260,000"
/en/tournaments/sydney/427/overview,Sydney,1992.10.05,48,Indoor,Hard,"$1,075,000"
/en/tournaments/toulouse/327/overview,Toulouse,1992.10.05,32,Indoor,Hard,"$315,000"
/en/tournaments/athens/367/overview,Athens,1992.10.05,32,Outdoor,Clay,"$155,000"
/en/tournaments/tokyo/428/overview,Tokyo,1992.10.12,48,Indoor,Carpet,"$1,075,000"
/en/tournaments/bolzano/348/overview,Bolzano,1992.10.12,32,Indoor,Carpet,"$310,000"
/en/tournaments/tel-aviv/330/overview,Tel Aviv,1992.10.12,32,Outdoor,Hard,"$155,000"
/en/tournaments/lyon/7309/overview,Lyon,1992.10.19,32,Indoor,Carpet,"$600,000"
/en/tournaments/taipei/457/overview,Taipei,1992.10.19,32,Indoor,Carpet,"$310,000"
/en/tournaments/vienna/337/overview,Vienna,1992.10.19,32,Indoor,Carpet,"$305,000"
/en/tournaments/stockholm/429/overview,Stockholm,1992.10.26,48,Indoor,Carpet,"$1,300,000"
/en/tournaments/guaruja/237/overview,Guaruja,1992.10.26,32,Outdoor,Hard,"$155,000"
/en/tournaments/paris/352/overview,Paris,1992.11.02,48,Indoor,Carpet,"$2,165,000"
/en/tournaments/buzios/215/overview,Buzios,1992.11.02,32,Outdoor,Hard,"$182,500"
/en/tournaments/antwerp/430/overview,Antwerp,1992.11.09,32,Indoor,Carpet,"$1,100,000"
